,Name,Total Value,Return
126,LRA; E=1.00e+07; K=1.00e+03,"$100,000.00",+0.000%
127,NN; E=1.00e+07; K=1.00e+03,"$100,000.00",+0.000%
128,LRA; E=1.00e+07; K=1.00e+02,"$100,000.00",+0.000%
129,NN; E=1.00e+07; K=1.00e+02,"$100,000.00",+0.000%
130,LRA; E=1.00e+07; K=1.00e+01,"$100,000.00",+0.000%
131,NN; E=1.00e+07; K=1.00e+01,"$100,000.00",+0.000%
132,LRA; E=1.00e+07; K=1.00e+00,"$100,000.00",+0.000%
133,NN; E=1.00e+07; K=1.00e+00,"$100,000.00",+0.000%
134,LRA; E=1.00e+07; K=1.00e-01,"$100,000.00",+0.000%
135,NN; E=1.00e+07; K=1.00e-01,"$100,000.00",+0.000%
136,LRA; E=1.00e+07; K=1.00e-02,"$100,000.00",+0.000%
137,NN; E=1.00e+07; K=1.00e-02,"$100,000.00",+0.000%
138,LRA; E=1.00e+07; K=1.00e-03,"$100,000.00",+0.000%
139,NN; E=1.00e+07; K=1.00e-03,"$100,000.00",+0.000%
140,LRA; E=1.00e+07; K=2.00e+03,"$100,000.00",+0.000%
141,NN; E=1.00e+07; K=2.00e+03,"$100,000.00",+0.000%
142,LRA; E=1.00e+07; K=2.00e+02,"$100,000.00",+0.000%
143,NN; E=1.00e+07; K=2.00e+02,"$100,000.00",+0.000%
144,LRA; E=1.00e+07; K=2.00e+01,"$100,000.00",+0.000%
145,NN; E=1.00e+07; K=2.00e+01,"$100,000.00",+0.000%
146,LRA; E=1.00e+07; K=2.00e+00,"$100,000.00",+0.000%
147,NN; E=1.00e+07; K=2.00e+00,"$100,000.00",+0.000%
148,LRA; E=1.00e+07; K=2.00e-01,"$100,000.00",+0.000%
149,NN; E=1.00e+07; K=2.00e-01,"$100,000.00",+0.000%
150,LRA; E=1.00e+07; K=2.00e-02,"$100,000.00",+0.000%
151,NN; E=1.00e+07; K=2.00e-02,"$100,000.00",+0.000%
152,LRA; E=1.00e+07; K=2.00e-03,"$100,000.00",+0.000%
153,NN; E=1.00e+07; K=2.00e-03,"$100,000.00",+0.000%
154,LRA; E=1.00e+07; K=3.00e+03,"$100,000.00",+0.000%
155,NN; E=1.00e+07; K=3.00e+03,"$100,000.00",+0.000%
156,LRA; E=1.00e+07; K=3.00e+02,"$100,000.00",+0.000%
157,NN; E=1.00e+07; K=3.00e+02,"$100,000.00",+0.000%
158,LRA; E=1.00e+07; K=3.00e+01,"$100,000.00",+0.000%
159,NN; E=1.00e+07; K=3.00e+01,"$100,000.00",+0.000%
160,LRA; E=1.00e+07; K=3.00e+00,"$100,000.00",+0.000%
161,NN; E=1.00e+07; K=3.00e+00,"$100,000.00",+0.000%
162,LRA; E=1.00e+07; K=3.00e-01,"$100,000.00",+0.000%
163,NN; E=1.00e+07; K=3.00e-01,"$100,000.00",+0.000%
164,LRA; E=1.00e+07; K=3.00e-02,"$100,000.00",+0.000%
165,NN; E=1.00e+07; K=3.00e-02,"$100,000.00",+0.000%
166,LRA; E=1.00e+07; K=3.00e-03,"$100,000.00",+0.000%
167,NN; E=1.00e+07; K=3.00e-03,"$100,000.00",+0.000%
168,LRA; E=1.00e+07; K=4.00e+03,"$100,000.00",+0.000%
169,NN; E=1.00e+07; K=4.00e+03,"$100,000.00",+0.000%
170,LRA; E=1.00e+07; K=4.00e+02,"$100,000.00",+0.000%
171,NN; E=1.00e+07; K=4.00e+02,"$100,000.00",+0.000%
172,LRA; E=1.00e+07; K=4.00e+01,"$100,000.00",+0.000%
173,NN; E=1.00e+07; K=4.00e+01,"$100,000.00",+0.000%
174,LRA; E=1.00e+07; K=4.00e+00,"$100,000.00",+0.000%
175,NN; E=1.00e+07; K=4.00e+00,"$100,000.00",+0.000%
176,LRA; E=1.00e+07; K=4.00e-01,"$100,000.00",+0.000%
177,NN; E=1.00e+07; K=4.00e-01,"$100,000.00",+0.000%
178,LRA; E=1.00e+07; K=4.00e-02,"$100,000.00",+0.000%
179,NN; E=1.00e+07; K=4.00e-02,"$100,000.00",+0.000%
180,LRA; E=1.00e+07; K=4.00e-03,"$100,000.00",+0.000%
181,NN; E=1.00e+07; K=4.00e-03,"$100,000.00",+0.000%
182,LRA; E=1.00e+07; K=5.00e+03,"$100,000.00",+0.000%
183,NN; E=1.00e+07; K=5.00e+03,"$100,000.00",+0.000%
184,LRA; E=1.00e+07; K=5.00e+02,"$100,000.00",+0.000%
185,NN; E=1.00e+07; K=5.00e+02,"$100,000.00",+0.000%
186,LRA; E=1.00e+07; K=5.00e+01,"$100,000.00",+0.000%
187,NN; E=1.00e+07; K=5.00e+01,"$100,000.00",+0.000%
188,LRA; E=1.00e+07; K=5.00e+00,"$100,000.00",+0.000%
189,NN; E=1.00e+07; K=5.00e+00,"$100,000.00",+0.000%
190,LRA; E=1.00e+07; K=5.00e-01,"$100,000.00",+0.000%
191,NN; E=1.00e+07; K=5.00e-01,"$100,000.00",+0.000%
192,LRA; E=1.00e+07; K=5.00e-02,"$100,000.00",+0.000%
193,NN; E=1.00e+07; K=5.00e-02,"$100,000.00",+0.000%
194,LRA; E=1.00e+07; K=5.00e-03,"$100,000.00",+0.000%
195,NN; E=1.00e+07; K=5.00e-03,"$100,000.00",+0.000%
196,LRA; E=1.00e+07; K=6.00e+03,"$100,000.00",+0.000%
197,NN; E=1.00e+07; K=6.00e+03,"$100,000.00",+0.000%
198,LRA; E=1.00e+07; K=6.00e+02,"$100,000.00",+0.000%
199,NN; E=1.00e+07; K=6.00e+02,"$100,000.00",+0.000%
200,LRA; E=1.00e+07; K=6.00e+01,"$100,000.00",+0.000%
201,NN; E=1.00e+07; K=6.00e+01,"$100,000.00",+0.000%
202,LRA; E=1.00e+07; K=6.00e+00,"$100,000.00",+0.000%
203,NN; E=1.00e+07; K=6.00e+00,"$100,000.00",+0.000%
204,LRA; E=1.00e+07; K=6.00e-01,"$100,000.00",+0.000%
205,NN; E=1.00e+07; K=6.00e-01,"$100,000.00",+0.000%
206,LRA; E=1.00e+07; K=6.00e-02,"$100,000.00",+0.000%
207,NN; E=1.00e+07; K=6.00e-02,"$100,000.00",+0.000%
208,LRA; E=1.00e+07; K=6.00e-03,"$100,000.00",+0.000%
209,NN; E=1.00e+07; K=6.00e-03,"$100,000.00",+0.000%
210,LRA; E=1.00e+07; K=7.00e+03,"$100,000.00",+0.000%
211,NN; E=1.00e+07; K=7.00e+03,"$100,000.00",+0.000%
212,LRA; E=1.00e+07; K=7.00e+02,"$100,000.00",+0.000%
213,NN; E=1.00e+07; K=7.00e+02,"$100,000.00",+0.000%
214,LRA; E=1.00e+07; K=7.00e+01,"$100,000.00",+0.000%
215,NN; E=1.00e+07; K=7.00e+01,"$100,000.00",+0.000%
216,LRA; E=1.00e+07; K=7.00e+00,"$100,000.00",+0.000%
217,NN; E=1.00e+07; K=7.00e+00,"$100,000.00",+0.000%
218,LRA; E=1.00e+07; K=7.00e-01,"$100,000.00",+0.000%
